-1	【图】上次已经发了一个帖子关于c200 异响的，最近有发现新的了,<title>【图】上次已经发了一个帖子关于c200 异响的，最近有发现新的了_  #brand c 级论坛_ 汽车之家论坛 n</title>...
-1	【辉山乳业承认执行董事失联】融创中国向乐视注资124亿，南航将向美国航空定增H股股份，#brand将召回39万辆国产及进口#brand汽车，中国联通将推出千兆网络试点体验……企,【辉山乳业承认执行董事失联】融创中国向乐视注资124亿，南航将向美国航空定增H股股份，#brand将召回39万辆国产及进口#brand汽车，中国联通将推出千兆网络试点体验……企业快讯尽在今日大公司→ 有声H5|今日大公司 蜻蜓FM网页链接 喜马拉雅网页链接网页链接
-1	#brand408 方向盘处异响4s 店无法解决,#brand408 方向盘处异响4s 店无法解决 v...#brand408 方向盘处异响4s 店无法解决...
0	回复：本人坐镇海阳吧为吧友免费服务汽车故障咨询_ 海阳吧_ 百度贴吧,刚在樱坤卖了#brand经典，这个车维修率高吗...
-1	#brand汽车跌超15%。,#brand汽车跌超15%。
-1	紧急召回!孝感人快看!100多万辆车,涉及多个大品牌,有没有你的?_...,梅赛德斯-#brand授权服务中心、福建#brand授权服务中心将通过挂号信等方式通知有关用户此...
0	> 提白色2 . 5l 迈锐宝xl 感受分享,k5 ，索九等都觉得太丑。 #brand 马路上也见过不少，不过马丁脸看多也腻了，而且网上见过不少说，车内有异味的。...
-1	本田 将召回进口insight / 飞度混合动力版,<title>本田将召回进口insight / 飞度混合动力版- 红车网 v</title>... 本田 将召回进口insight / 飞度混合动力版- 红车网...日前，#brand汽车有限公司、广汽 本田 汽车有限公司向质检总局备案了召回计划，将召回进口insight 和飞度混合动力版：...（一）#brand汽车有限公司进口的的部分2013 款 本田 音赛特混合动力汽车，生产日期为2012 年4 月26 日至2012 年6 月29 日。...（二）广汽 本田 汽车有限公司进口的部分2013 款飞度混合动力汽车，生产日期为2012 年7 月5 日至2013 年3 月1 日。...#brand汽车有限公司将于2016 年3 月28 日开始实施召回，并将从2016 年2 月5 日开始, 通过其特约销售服务店向相关车主发出通知。...
0	专车好消息，大客户保险新政策,舒适型（b 级）：别克君威、别克君越、本田雅阁、现代索纳塔8 、 #brand 天籁、丰田凯美瑞、大众迈腾、大众帕萨特、沃尔沃s60l 等；...
-1	#穿婚纱参加前男友毕业礼##这一刻的小时光#【通用两重型皮卡气囊隐患在美召回】从美国国家公路安全局（NHTSA）了解到，由于装配了高田的隐患气囊，通用汽车公司将,#穿婚纱参加前男友毕业礼##这一刻的小时光#【通用两重型皮卡气囊隐患在美召回】从美国国家公路安全局（nhtsa）了解到，由于装配了高田的隐患气囊，通用汽车公司将在美展开召回计划，召回车型为2007至2008款#brandsilverado以及通用sierra，共涉及37.5万辆。
-1	太平洋财富网_专业金融财经门户_投资理财可信赖的参考资讯站点,据《汽车新闻》欧洲版消息称，梅赛德斯-#brand和保时捷部分柴油车型因排放造假问题在瑞士被禁止。 ... 瑞士当地公路管理局在15日表示，瑞士相关部门已暂停了部分新款梅赛德斯-#brand威霆商务车、保时捷macan和卡宴suv的注册，这些车型使用柴油发动机，排放存在作弊的嫌疑。 ... 戴姆勒股份公司表示，继德国当局5月份下令召回#brand威霆商务车之后，他们就已停止出口该车，并暂停了此车型的注册。 ... 戴姆勒股份公司的发言人在一份电子邮件中称，此举影响到了出口瑞士的24辆#brand威霆商务车。
0	国产车suv质量前十名这样排名，你认可吗,国产车suv质量前十名这样排名，你认可吗 ... 质量排行榜第5名：#brand ... #brandsuv卖的多，投诉也多，每百车毛病数为398，最多的毛病就是集中在动力总成上，异响，油耗大，档位难挂，成了最让他头疼的问题。
0	第99 页,#brand 热门城市4s 店#brand其他论坛...<title>第99 页_  #brand 2008 论坛_ #brand2008 车友会_ 太平洋汽车论坛 n</title>...第99 页_  #brand 2008 论坛_ #brand2008 车友会_ 太平洋汽车论坛... #brand 2008 论坛... #brand 2008 频道... #brand 2008 专题...
-1	3.15来临之际，大众紧急发布声明将解决车内异味问题，涉及大众、#brand和斯柯达等多款车型。此前有多位车主投诉大众使用黑心棉，车内异味问题严重。,3.15来临之际，大众紧急发布声明将解决车内异味问题，涉及大众、#brand和斯柯达等多款车型。此前有多位车主投诉大众使用黑心棉，车内异味问题严重。
0	节油再突破 新#brandH6 Coupe挑战“首堵”济南,节油再突破 新#brandh6 coupe挑战“首堵”济南 ... 月30日，新#brandh6 coupe来到了“中国拥堵城市排行榜第一”的济南举办节油挑战赛，这是继6月14日北京二环节油挑战赛成功后的第二站。 ... 在周一早高峰、车载3人且全程使用空调的条件下，新#brandh6 coupe凭借搭载全新动力组合的澎湃动力与超低油耗，完成了车队平均油耗7.1l/100km的好成绩。 ... 在本次节油挑战赛中，新#brandh6 coupe穿梭于拥堵的济南市区，在经历经十路、老城区、绕城高速公路后，全程共计行驶128公里。 ... 而新#brandh6 coupe也凭借本次的亮眼表现，一改往日国人眼中油耗高的印象。
-1	谁说美系SUV不好？这三款中大型SUV堪称经典,第三款：#brand昂科雷 ... 相比福特和jeep，#brand在国内的影响力或者说情怀还是差了一些，尤其是在高端车型方面。 ... #brand在低端车型方面有英朗等车型抢占了很多市场份额，甚至堪称销量最好的几款轿车。 ... 但在中高端市场的竞争力真的不强，即便是排除日系和德系的影响，单纯说美系车的竞争对手就足以让#brand焦头烂额。 ... 不过#brand昂科雷这款车却是非常值得买的一款车，外观霸道内饰豪华空间巨大就是昂科雷最真实的写照，可惜的是目前只有两款车型，价格上倒是非常便宜，毕竟款式在这摆着了。
0	林肯MKV和#brandXT5选谁更豪华？网友：选它，BBA都没法和它比,林肯mkv和#brandxt5选谁更豪华？ ... 林肯mkv和#brandxt5选谁更豪华？ ... 最近小编也是收到了朋友的这么一个提问：想要入手一款豪华suv，想在林肯mkc和#brandxt5中选择，这两款车该怎么去选择呢？ ... 下面咱们就好好的去分析一下：先来说一下小编的观点，林肯mkc完全没有跟#brandxt5正面竞争的实力，这两款车相比的话，毫无疑问是#brandxt5更值得购买。 ... 虽然林肯mkc与#brandxt5一样，都是豪华品牌中型suv的定位。
-1	跑车底＋路虎车身，换掉蒙迪欧的发动机，狂降20万也没人买-新浪汽车,说到#brand，好像是真的被印度塔塔收购之后在国内就那么好过了，其实也不全是换了东家的原因，之前的产品质量、油耗等等因素，以及取消了立标之后，这些都或多或少的影响了#brand的口碑。 ... 再加上同级别更多的豪华品牌，凯迪拉克、沃尔沃、雷克萨斯和英菲尼迪这些二线豪华品牌给到不小的竞争压力，#brand，当然也包括路虎，都瞬间失去了原有的辉煌。 ... 就拿今天要跟大家聊的f-pace，成天标榜自己“世界年度风云车”和“世界年度大奖”的双奖光环，但从真是的现状来看，这款#brand都可以说像现在是苟且地活着：销量数据方面，基本上连前200名都见不到，月销是惨不忍睹； ... 要真的是这样，那就不如选择#brandxf了。
